GST Number,valid,mof,dof,ret_prd,rtntype,arn,status
27AAACT3151E1ZP,Y,ONLINE,19-03-2018,022018,GSTR3B,AA270218620275A,Filed
27AAACT3151E1ZP,Y,ONLINE,05-03-2018,012018,GSTR1,AB270118086080B,Filed
27AAACT3151E1ZP,Y,ONLINE,20-02-2018,012018,GSTR3B,AA2701187420395,Filed
27AAACT3151E1ZP,Y,ONLINE,30-01-2018,122017,GSTR1,AB271217044888O,Filed
27AAACT3151E1ZP,Y,ONLINE,19-01-2018,122017,GSTR3B,AA2712177360871,Filed
27AAACT3151E1ZP,Y,ONLINE,12-01-2018,102017,GSTR1,AB2710171834246,Filed
27AAACT3151E1ZP,Y,ONLINE,12-01-2018,112017,GSTR1,AB271117168238Y,Filed
27AAACT3151E1ZP,Y,ONLINE,12-01-2018,092017,GSTR1,AB270917813824O,Filed
27AAACT3151E1ZP,Y,ONLINE,11-01-2018,082017,GSTR1,AB270817457256N,Filed
27AAACT3151E1ZP,Y,ONLINE,20-12-2017,112017,GSTR3B,AA271117806364A,Filed
27AAACT3151E1ZP,Y,ONLINE,20-11-2017,102017,GSTR3B,AA271017706840D,Filed
27AAACT3151E1ZP,Y,ONLINE,18-10-2017,092017,GSTR3B,AA270917652557I,Filed
27AAACT3151E1ZP,Y,ONLINE,20-09-2017,082017,GSTR3B,AA270817762256P,Filed
27AAACT3151E1ZP,Y,ONLINE,09-09-2017,072017,GSTR1,AB270717865476F,Filed
27AAACT3151E1ZP,Y,ONLINE,25-08-2017,072017,GSTR3B,AA270717914824S,Filed
,,,,,,,
